id;how_long;how_long_unit;planned_begin;planned_end;script;delegable;auto_allocable
1;41125;transmit Ways;2019-10-23;2019-10-24;../fake-data/blob/hipster.txt;false;true
2;74957;redefine transmitting;2019-10-24;2019-10-23;../fake-data/blob/hipster.txt;false;false
3;3682;Plastic Movies;2019-10-24;2019-10-23;../fake-data/blob/hipster.txt;true;true
4;53434;parse Customer Rhode Island;2019-10-23;2019-10-23;../fake-data/blob/hipster.txt;true;true
5;37785;Multi-channelled;2019-10-24;2019-10-24;../fake-data/blob/hipster.txt;false;true
6;27473;white SMTP;2019-10-23;2019-10-23;../fake-data/blob/hipster.txt;false;false
7;26867;Baby;2019-10-24;2019-10-24;../fake-data/blob/hipster.txt;false;true
8;83137;solution connecting;2019-10-23;2019-10-24;../fake-data/blob/hipster.txt;false;true
9;79181;Connecticut Burg;2019-10-24;2019-10-23;../fake-data/blob/hipster.txt;true;true
10;63936;digital Corporate Checking Account;2019-10-23;2019-10-24;../fake-data/blob/hipster.txt;true;true
