id;ident;p_state
1;UAE Dirham;Rubber Mall Investment Account
2;scalable Configuration calculating;infrastructures Mobility Representative
3;Shirt;Mobility
4;Arizona synthesizing Fresh;override back-end hacking
5;open-source;payment National
6;HDD;Tanzanian Shilling Lights
7;e-enable Plaza intranet;convergence Idaho customized
8;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences
9;Credit Card Account;Belize Dollar Bacon
10;Investment Account Rwanda Customer;Liaison copy program
