id;ident;name;description;begin_date;end_date;active
1;Moroccan Dirham;capability zero tolerance Computers;../fake-data/blob/hipster.txt;2019-10-23;2019-10-23;true
2;Small Plastic Pants Investor;Canadian Dollar;../fake-data/blob/hipster.txt;2019-10-24;2019-10-24;false
3;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;../fake-data/blob/hipster.txt;2019-10-24;2019-10-24;true
4;withdrawal Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;../fake-data/blob/hipster.txt;2019-10-23;2019-10-24;false
5;red firewall open-source;deposit Sausages;../fake-data/blob/hipster.txt;2019-10-23;2019-10-24;false
6;Creative Metal;bandwidth azure;../fake-data/blob/hipster.txt;2019-10-24;2019-10-23;true
7;Profound;parsing;../fake-data/blob/hipster.txt;2019-10-24;2019-10-24;true
8;Vision-oriented;Agent;../fake-data/blob/hipster.txt;2019-10-24;2019-10-23;true
9;pink even-keeled;bus Internal AI;../fake-data/blob/hipster.txt;2019-10-23;2019-10-23;true
10;Unbranded Cheese Dynamic;Alabama transform;../fake-data/blob/hipster.txt;2019-10-23;2019-10-23;true
