id;ident;name;description;is_active
1;sensor;Alaska;../fake-data/blob/hipster.txt;true
2;Intelligent Frozen Sausages Villages;Human;../fake-data/blob/hipster.txt;false
3;Automotive Tactics architectures;Wisconsin Facilitator Incredible;../fake-data/blob/hipster.txt;false
4;fuchsia eco-centric;Pants Maryland;../fake-data/blob/hipster.txt;true
5;UIC-Franc Arkansas Intelligent;Zambian Kwacha intuitive;../fake-data/blob/hipster.txt;false
6;system-worthy portal;Belize Dollar Sudanese Pound real-time;../fake-data/blob/hipster.txt;false
7;redundant;Synergistic Personal Loan Account Sleek;../fake-data/blob/hipster.txt;false
8;Auto Loan Account olive;Yen;../fake-data/blob/hipster.txt;true
9;Human;Tools California;../fake-data/blob/hipster.txt;false
10;Argentine Peso implementation;Wallis and Futuna;../fake-data/blob/hipster.txt;false
